kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,is_candidate
9899410,K07245.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,1.332545609,8.532e-06,-8.532e-06,132.05755,0.00513,-0.00513,0.582,0.046,-0.582,3.997,0.618,-0.618,278.2,15.6,-15.6,28.37,1.65,-9.38,5080.0,,,157611.61,40845.93,-102386.32,31.4,1.0,q1_q17_dr25_tce,5154.0,153.0,-307.0,2.435,0.033,-0.03,16.486,0.962,-5.452,295.2258,46.76009,13.504,0
4770365,K01475.01,Kepler-1669 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.609321941,3.044e-06,-3.044e-06,178.94178,0.00158,-0.00158,0.016,0.463,-0.016,1.6067,0.0505,-0.0505,728.5,24.4,-24.4,1.57,0.07,-0.08,958.0,,,199.28,36.07,-33.23,35.3,1.0,q1_q17_dr25_tce,4224.0,84.0,-84.0,4.662,0.025,-0.02,0.603,0.027,-0.03,297.43039,39.847839,15.937,1
9532123,K06069.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,8.214204254,8.059e-06,-8.059e-06,135.01403,0.00127,-0.00127,1.092,0.202,-0.086,4.5905,0.012,-0.012,74177.0,136.0,-136.0,42.29,9.23,-3.99,798.0,,,96.12,65.39,-27.75,613.1,1.0,q1_q17_dr25_tce,5654.0,178.0,-198.0,4.59,0.036,-0.144,0.774,0.169,-0.073,294.17896,46.188431,16.356,0
10973664,K00601.01,Kepler-619 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.40426917,1.182e-05,-1.182e-05,172.18553,0.00173,-0.00173,0.229,0.224,-0.229,2.5315,0.06,-0.06,860.6,23.0,-23.0,2.85,0.89,-0.3,1073.0,,,312.93,289.85,-91.85,40.5,1.0,q1_q17_dr25_tce,6122.0,169.0,-190.0,4.487,0.052,-0.208,0.964,0.303,-0.101,290.84906,48.416012,14.697,1
11560037,K03874.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.466535757,7.16e-07,-7.16e-07,131.992658,0.000394,-0.000394,0.824,0.047,-0.575,0.8222,0.0348,-0.0348,1346.4,29.4,-29.4,4.28,1.24,-0.77,1671.0,,,1849.31,1575.29,-744.53,86.1,1.0,q1_q17_dr25_tce,5888.0,159.0,-177.0,4.387,0.128,-0.192,1.02,0.296,-0.182,292.35748,49.514511,15.446,0
5389540,K01836.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,0,0,1,0,10.26231992,7.434e-05,-7.434e-05,133.20719,0.00582,-0.00582,0.945,0.004,-0.674,3.568,0.157,-0.157,813.9,53.1,-53.1,1.98,0.18,-0.2,509.0,,,15.89,5.78,-4.93,17.3,1.0,q1_q17_dr25_tce,4316.0,150.0,-165.0,4.709,0.06,-0.035,0.54,0.049,-0.055,298.46799,40.516678,13.259,0
10735988,K06230.01,,FALSE POSITIVE,FALSE POSITIVE,0.644,0,1,0,0,1.927177921,7.83e-07,-7.83e-07,132.571474,0.000344,-0.000344,0.399,0.061,-0.009,2.7742,0.0294,-0.0294,136140.0,875.0,-875.0,28.94,3.29,-3.29,1219.0,,,523.16,213.86,-154.17,204.7,1.0,q1_q17_dr25_tce,5193.0,168.0,-138.0,4.525,0.08,-0.064,0.774,0.088,-0.088,293.74011,48.011501,15.706,0
11453349,K08055.01,,CANDIDATE,CANDIDATE,0.907,0,0,0,0,4.40660737,4.122e-05,-4.122e-05,133.35561,0.00774,-0.00774,0.433,0.035,-0.433,2.107,0.257,-0.257,70.7,11.1,-11.1,0.86,0.27,-0.09,1152.0,,,415.56,400.77,-127.23,8.1,1.0,q1_q17_dr25_tce,6063.0,190.0,-211.0,4.47,0.052,-0.208,1.001,0.318,-0.106,290.81824,49.30558,14.689,1
9895006,K01717.01,Kepler-936 b,CONFIRMED,CANDIDATE,0.969,0,0,0,0,10.56137217,4.34e-05,-4.34e-05,133.76396,0.00339,-0.00339,0.963,0.01,-0.675,3.2645,0.0936,-0.0936,238.4,12.5,-12.5,2.43,0.66,-0.45,867.0,,,133.56,109.43,-54.29,21.7,1.0,q1_q17_dr25_tce,5610.0,166.0,-166.0,4.316,0.165,-0.182,1.171,0.319,-0.213,293.57776,46.73634,14.581,1
5897826,K00126.02,,CANDIDATE,CANDIDATE,0.997,0,0,0,0,0.875197345,,,131.8135915,,,1.004,,,0.052,,,0.0,,,0.73,0.11,-0.17,2518.0,,,9497.39,4250.51,-4369.96,0.0,3.0,q1_q17_dr25_tce,5855.0,117.0,-117.0,3.999,0.196,-0.084,1.796,0.281,-0.422,297.47586,41.114288,13.109,1
7025851,K06803.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,2.340534383,2.514e-06,-2.514e-06,132.74718,0.00133,-0.00133,0.71,0.058,-0.043,4.43017,0.00681,-0.00681,241360.0,294.0,-294.0,69.55,22.46,-9.61,1581.0,,,1476.77,1447.13,-538.42,881.5,1.0,q1_q17_dr25_tce,6300.0,197.0,-241.0,4.349,0.105,-0.21,1.136,0.367,-0.157,289.35959,42.530239,14.39,0
